epoch,loss,mean_iou,val_loss,val_mean_iou
0,0.638724308108809,0.37077513,0.7188152332804096,0.42692452669143677
1,0.4137608526061423,0.46311224,0.6899722218513489,0.4935588836669922
2,0.3276803378837421,0.5151012,0.5693781509328244,0.5422731041908264
3,0.2726476859196304,0.56303966,0.4139558188061216,0.581953227519989
4,0.23336824144593518,0.59909827,0.28251710934425467,0.6148097515106201
5,0.1929652504808274,0.6291397,0.23866546865719468,0.6425099968910217
6,0.17321145465322593,0.6539984,0.18659366044535566,0.6652644872665405
7,0.15459561509823128,0.6747705,0.1559968421708292,0.6841158866882324
8,0.15325167940722573,0.692131,0.14013965995009267,0.6996834874153137
9,0.13955300290193132,0.70653296,0.14837937913279034,0.7133769989013672
10,0.13388571274122393,0.7195468,0.1180033029905006,0.7253361940383911
11,0.14088712212557025,0.7302691,0.14553440517898816,0.7350923418998718
12,0.13219652623926625,0.7395218,0.11200395938175828,0.7440401911735535
13,0.1224121161262392,0.74821854,0.11120318866042948,0.752258837223053
14,0.12116791710727053,0.7558088,0.10515549367488321,0.7595450282096863
15,0.11384747216901178,0.76300395,0.10460491734209346,0.766288161277771
16,0.11097204274996794,0.7695387,0.09763854336160332,0.7725695967674255
17,0.1069016117065107,0.7754068,0.09963051112952517,0.778215765953064
18,0.10444622032134292,0.7808477,0.10177088189703315,0.7835469245910645
19,0.10597661296971402,0.7859203,0.09782391030396988,0.7882269620895386
20,0.10345222052205261,0.79036254,0.09077767961060823,0.7926185727119446
21,0.09888805211776525,0.7946769,0.09146427357597138,0.7967118620872498
22,0.0972509912615194,0.79861385,0.09153809704220117,0.800553023815155
23,0.09429668390483999,0.8023479,0.100267724259131,0.8041268587112427
24,0.09269682450179832,0.805836,0.08590379713186577,0.8075357675552368
25,0.09283119018744078,0.8091131,0.09317850438294126,0.8106772303581238
26,0.09220953232563946,0.81216526,0.08231912581111069,0.813615620136261
27,0.08903166111774903,0.8150077,0.08293745188570734,0.8164314031600952
28,0.08782833841803853,0.81773335,0.07987258505465379,0.8191269040107727
29,0.08599884458392809,0.8204053,0.07778977630520935,0.821643054485321
30,0.08477959817717126,0.8228484,0.0765448698023362,0.8240473866462708
31,0.08401643324204741,0.8251992,0.07728273115718542,0.8263393640518188
32,0.08818910340122124,0.8273443,0.0754570312130807,0.8283677101135254
33,0.08325372208805622,0.82944626,0.0758461921072718,0.8304188847541809
34,0.08223884462519467,0.83134705,0.07733054308971363,0.8323609232902527
35,0.08313515740346356,0.83321923,0.07279563178099803,0.834145188331604
36,0.07975826544029202,0.83500975,0.0740933205320764,0.8359234929084778
37,0.07746959598750419,0.83679235,0.07501553866400648,0.8376644253730774
38,0.07592357960753575,0.8385091,0.07200859915187109,0.8393670916557312
39,0.07512327833456384,0.84017444,0.0678655465703402,0.8409860730171204
40,0.07473781099465751,0.84173685,0.07096448813134165,0.8425407409667969
41,0.07687346884366093,0.84327257,0.06900610808116286,0.8439840078353882
42,0.07244828205005842,0.84472597,0.07105168705778335,0.8454216718673706
43,0.0731277851075873,0.84609145,0.06926172304509291,0.8467837572097778
44,0.07685555554741058,0.8474002,0.07459664122382206,0.8479782938957214
45,0.07281909359751847,0.8485528,0.06734303301617281,0.8492009043693542
46,0.06960587483980565,0.8498428,0.06736877210327048,0.850467324256897
47,0.06852731297710049,0.851067,0.06721316350262556,0.8517074584960938
48,0.0679936349317802,0.85230976,0.06798037174922317,0.8528894186019897
49,0.06710217425454514,0.8534561,0.06746965785747144,0.8540541529655457
50,0.06805750673287742,0.85458446,0.06842946166645235,0.85515958070755
51,0.06714306009398961,0.8557041,0.06743726273303602,0.8562482595443726
52,0.06722164548204511,0.8567815,0.06647815544213821,0.8572939038276672
53,0.06665960435522333,0.85780185,0.0673790832064045,0.8583108186721802
54,0.06640925115070137,0.8587993,0.06710232777604416,0.8592872619628906
55,0.06665904005096722,0.85974413,0.06689883829719985,0.8602222204208374
56,0.0661693023854425,0.8606626,0.06600698339405345,0.8611400723457336
57,0.0660374683280094,0.8615809,0.06676145270466805,0.8620285987854004
58,0.06684682003004634,0.8624568,0.06611179771708019,0.8628754615783691
59,0.06520488954598631,0.8632908,0.06658169226859932,0.8637087941169739
